# 02/20/2021, 21:33:11 
# resultsAmadou 

# Power Law Fit data


x_fit_values	y_fit_1
   157.000	   287.300
   157.500	   287.772
   158.000	   288.244
   158.500	   288.715
   159.000	   289.185
   159.500	   289.654
   160.000	   290.123
   160.500	   290.590
   161.000	   291.058
   161.500	   291.524
   162.000	   291.990
   162.500	   292.455
   163.000	   292.919
   163.500	   293.383
   164.000	   293.846
   164.500	   294.309
   165.000	   294.770
   165.500	   295.231
   166.000	   295.692
   166.500	   296.151
   167.000	   296.610
   167.500	   297.068
   168.000	   297.526
   168.500	   297.983
   169.000	   298.439
   169.500	   298.895
   170.000	   299.350
   170.500	   299.805
   171.000	   300.258
   171.500	   300.711
   172.000	   301.164
   172.500	   301.616
   173.000	   302.067
   173.500	   302.518
   174.000	   302.967
   174.500	   303.417
   175.000	   303.866
   175.500	   304.314
   176.000	   304.761
   176.500	   305.208
   177.000	   305.654
   177.500	   306.100
   178.000	   306.545
   178.500	   306.989
   179.000	   307.433
   179.500	   307.876
   180.000	   308.319
   180.500	   308.761
   181.000	   309.202
   181.500	   309.643
   182.000	   310.083
   182.500	   310.523
   183.000	   310.962
   183.500	   311.401
   184.000	   311.839
   184.500	   312.276
   185.000	   312.713
   185.500	   313.149
   186.000	   313.585
   186.500	   314.020
   187.000	   314.454
   187.500	   314.888
   188.000	   315.322
   188.500	   315.754
   189.000	   316.187
   189.500	   316.618
   190.000	   317.050
   190.500	   317.480
   191.000	   317.910
   191.500	   318.340
   192.000	   318.769
   192.500	   319.197
   193.000	   319.625
   193.500	   320.053
   194.000	   320.480
   194.500	   320.906
   195.000	   321.332
   195.500	   321.757
   196.000	   322.182
   196.500	   322.606
   197.000	   323.030
   197.500	   323.453
   198.000	   323.875
   198.500	   324.298
   199.000	   324.719
   199.500	   325.140
   200.000	   325.561
   200.500	   325.981
   201.000	   326.401
   201.500	   326.820
   202.000	   327.238
   202.500	   327.656
   203.000	   328.074
   203.500	   328.491
   204.000	   328.908
   204.500	   329.324
   205.000	   329.739
   205.500	   330.154
   206.000	   330.569
   206.500	   330.983
   207.000	   331.397
   207.500	   331.810
   208.000	   332.223
   208.500	   332.635
   209.000	   333.047
   209.500	   333.458
   210.000	   333.869
   210.500	   334.279
   211.000	   334.689
   211.500	   335.098
   212.000	   335.507
   212.500	   335.916
   213.000	   336.324
   213.500	   336.731
   214.000	   337.138
   214.500	   337.545
   215.000	   337.951
   215.500	   338.357
   216.000	   338.762
   216.500	   339.167
   217.000	   339.571
   217.500	   339.975
   218.000	   340.378
   218.500	   340.781
   219.000	   341.184
   219.500	   341.586
   220.000	   341.987
   220.500	   342.389
   221.000	   342.789
   221.500	   343.190
   222.000	   343.590
   222.500	   343.989
   223.000	   344.388
   223.500	   344.787
   224.000	   345.185
   224.500	   345.583
   225.000	   345.980
   225.500	   346.377
   226.000	   346.773
   226.500	   347.169
   227.000	   347.565
   227.500	   347.960
   228.000	   348.355
   228.500	   348.749
   229.000	   349.143
   229.500	   349.537
   230.000	   349.930
   230.500	   350.322
   231.000	   350.715
   231.500	   351.106
   232.000	   351.498
   232.500	   351.889
   233.000	   352.280
   233.500	   352.670
   234.000	   353.060
   234.500	   353.449
   235.000	   353.838
   235.500	   354.227
   236.000	   354.615
   236.500	   355.003
   237.000	   355.390
   237.500	   355.777
   238.000	   356.164
   238.500	   356.550
   239.000	   356.936
   239.500	   357.321
   240.000	   357.706
   240.500	   358.091
   241.000	   358.475
   241.500	   358.859
   242.000	   359.243
   242.500	   359.626
   243.000	   360.009
   243.500	   360.391
   244.000	   360.773
   244.500	   361.155
   245.000	   361.536
   245.500	   361.917
   246.000	   362.297
   246.500	   362.678
   247.000	   363.057
   247.500	   363.437
   248.000	   363.816
   248.500	   364.194
   249.000	   364.573
   249.500	   364.951
   250.000	   365.328
   250.500	   365.705
   251.000	   366.082
   251.500	   366.459
   252.000	   366.835
   252.500	   367.210
   253.000	   367.586
   253.500	   367.961
   254.000	   368.335
   254.500	   368.710
   255.000	   369.084
   255.500	   369.457
   256.000	   369.830
   256.500	   370.203
   257.000	   370.576
   257.500	   370.948
   258.000	   371.320
   258.500	   371.691
   259.000	   372.062
   259.500	   372.433
   260.000	   372.804
   260.500	   373.174
   261.000	   373.544
   261.500	   373.913
   262.000	   374.282
   262.500	   374.651
   263.000	   375.019
   263.500	   375.387
   264.000	   375.755
   264.500	   376.122
   265.000	   376.489
   265.500	   376.856
   266.000	   377.222
   266.500	   377.588
   267.000	   377.954
   267.500	   378.320
   268.000	   378.685
   268.500	   379.049
   269.000	   379.414
   269.500	   379.778
   270.000	   380.141
   270.500	   380.505
   271.000	   380.868
   271.500	   381.231
   272.000	   381.593
   272.500	   381.955
   273.000	   382.317
   273.500	   382.679
   274.000	   383.040
   274.500	   383.401
   275.000	   383.761
   275.500	   384.121
   276.000	   384.481
   276.500	   384.841
   277.000	   385.200
   277.500	   385.559
   278.000	   385.918
   278.500	   386.276
   279.000	   386.634
   279.500	   386.992
   280.000	   387.349
   280.500	   387.706
   281.000	   388.063
   281.500	   388.419
   282.000	   388.776
   282.500	   389.131
   283.000	   389.487
   283.500	   389.842
   284.000	   390.197
   284.500	   390.552
   285.000	   390.906
   285.500	   391.260
   286.000	   391.614
   286.500	   391.967
   287.000	   392.320
   287.500	   392.673
   288.000	   393.026
   288.500	   393.378
   289.000	   393.730
   289.500	   394.082
   290.000	   394.433
   290.500	   394.784
   291.000	   395.135
   291.500	   395.486
   292.000	   395.836
   292.500	   396.186
   293.000	   396.535
   293.500	   396.885
   294.000	   397.234
   294.500	   397.582
   295.000	   397.931
   295.500	   398.279
   296.000	   398.627
   296.500	   398.975
   297.000	   399.322
   297.500	   399.669
   298.000	   400.016
   298.500	   400.362
   299.000	   400.708
