0	2878507.50
30	2873843.50
60	2861740.00
90	2854824.75
120	2847857.00
150	2842604.25
180	2832605.75
210	2829206.25
240	2821857.50
270	2813969.25
300	2804273.00
330	2799269.25
360	2792391.25
390	2789779.50
420	2782350.00
450	2772975.00
480	2771861.75
510	2763347.75
540	2757513.75
570	2754123.00
600	2746583.00
630	2739247.25
660	2737724.50
690	2729655.50
720	2726858.00
750	2717899.25
780	2712424.75
810	2709320.75
840	2702881.50
870	2697902.25
900	2693848.50
930	2690038.50
960	2684874.75
990	2680401.50
1020	2678256.75
1050	2671515.00
1080	2670596.00
1110	4326817.00
1140	5241512.00
1170	5578827.00
1200	5719582.50
1230	5791265.50
1260	5867681.50
1290	5942049.50
1320	5986993.00
1350	6044142.50
1380	6090208.50
1410	6203872.50
1440	6323913.50
1470	6380932.50
1500	6420570.00
1530	6462592.50
1560	6506167.50
1590	6537139.00
1620	6565699.50
1650	6589564.00
1680	6612504.00
1710	6632399.50
1740	6670643.00
1770	6687316.00
1800	6709501.50
1830	6725780.00
1860	6743706.00
1890	6758040.50
1920	6790678.00
1950	6809340.00
1980	6821792.00
2010	5338571.00
2040	4813937.50
2070	4537052.00
2100	4331971.00
2130	4176837.50
2160	4065194.75
2190	3963079.25
2220	3880718.25
2250	3807498.50
2280	3753015.75
2310	3692186.00
2340	3639791.50
2370	3592790.75
2400	3556199.00
2430	3520693.75
2460	3477994.25
2490	3450831.25
2520	3415013.25
2550	3389654.75
2580	3362747.75
2610	3337849.75
2640	3312996.75
2670	3287316.75
2700	3265709.75
2730	3244213.25
2760	3224767.75
2790	3207210.25
2820	3190896.00
2850	3168031.75
2880	3152947.75
2910	3138710.00
2940	3124266.25
2970	3109645.00
3000	3096385.00
3030	3081311.00
3060	3067270.00
3090	3051260.00
3120	3042444.25
3150	3031020.50
3180	3015940.75
3210	3006690.75
3240	2995075.25
3270	2984429.25
3300	2975782.75
3330	2963688.25
3360	2951394.75
3390	2945603.25
3420	2934009.25
3450	2927051.75
3480	2914156.25
3510	2906159.00
3540	2899318.00
3570	2892607.25
3600	2881301.25
3630	2876629.50
3660	2865612.25
3690	2859278.50
3720	2849990.75
3750	2845975.50
3780	2835734.50
3810	2831722.25
3840	2824131.25
3870	2817519.50
3900	2809418.00
3930	2802037.25
3960	2798830.75
3990	2793396.00
4020	2782471.00
4050	2776084.00
4080	2775697.50
4110	2766249.50
4140	2759592.00
4170	2754572.25
4200	2749425.25
4230	2742588.75
4260	2742122.50
4290	2736608.00
4320	2728651.25
4350	2722570.00
4380	2716208.00
4410	2715416.50
4440	2709500.25
4470	2703526.25
4500	2698113.00
4530	2696215.00
4560	2692172.75
4590	2683950.50
4620	2679456.00
4650	2678169.50
4680	2674080.75
4710	5747357.50
4740	6635353.00
4770	6924150.50
4800	7137867.50
4830	7319907.50
4860	7627499.50
4890	7795389.50
4920	7929428.50
4950	8016769.50
4980	8079402.50
5010	8158076.00
5040	8220094.50
5070	8292851.00
5100	8346808.00
5130	8381604.50
5160	8430351.00
5190	8489963.00
5220	8518030.00
5250	8567982.00
5280	8585581.00
5310	8619791.00
5340	8668764.00
5370	8694645.00
5400	8716917.00
5430	8740501.00
5460	8764385.00
5490	8806233.00
5520	8821810.00
5550	8832689.00
5580	8850555.00
5610	6273175.50
5640	5551338.50
5670	5177365.50
5700	4908887.00
5730	4708718.50
5760	4561469.00
5790	4435812.00
5820	4321814.50
5850	4237689.00
5880	4150284.50
5910	4078380.25
5940	4014827.50
5970	3959684.50
6000	3903899.50
6030	3857118.50
6060	3810653.50
6090	3768191.50
6120	3735006.50
6150	3699148.25
6180	3659744.75
6210	3626765.25
6240	3602792.00
6270	3567631.50
6300	3540337.75
6330	3517174.75
6360	3495371.75
6390	3469489.75
6420	3449180.75
6450	3421290.25
6480	3406472.25
6510	3384205.75
6540	3364619.25
6570	3348408.75
6600	3328961.50
6630	3314405.00
6660	3292695.00
6690	3282151.25
6720	3266442.75
6750	3251251.75
6780	3233790.50
6810	3218494.75
6840	3205708.75
6870	3196226.50
6900	3181509.75
6930	3168085.25
6960	3158103.25
6990	3143578.50
7020	3134556.75
7050	3118280.00
7080	3107947.50
7110	3101061.75
7140	3087592.00
7170	3080385.25
7200	3065828.25
7230	3060924.50
7260	3048282.25
7290	3037644.00
7320	3028020.50
7350	3022580.25
7380	3009799.25
7410	3007176.50
7440	2993748.25
7470	2985099.00
7500	2980035.25
7530	2969970.50
7560	2961035.00
7590	2954014.00
7620	2946843.75
7650	2940973.75
7680	2936408.25
7710	2925809.25
7740	2922241.00
7770	2915841.00
7800	2907995.25
7830	2902358.25
7860	2895667.50
7890	2887901.75
7920	2880676.25
7950	2872844.50
7980	2867046.25
8010	2860575.50
8040	2854306.25
8070	2852161.75
8100	2842820.75
8130	2842177.25
8160	2836065.25
8190	2826756.25
8220	2822701.75
8250	2815247.00
8280	2810574.00
8310	7877440.00
8340	8739790.00
8370	9478108.00
8400	9942024.00
8430	10206713.00
8460	10412814.00
8490	10570125.00
8520	10710365.00
8550	10861855.00
8580	10964341.00
8610	11081003.00
8640	11157517.00
8670	11232401.00
8700	11323905.00
8730	11370563.00
8760	11468392.00
8790	11491918.00
8820	11539381.00
8850	11650747.00
8880	11645210.00
8910	11748331.00
8940	11756084.00
8970	11808819.00
9000	11843943.00
9030	11927451.00
9060	11955159.00
9090	11999580.00
9120	12034818.00
9150	12083926.00
9180	12070276.00
9210	7562403.00
9240	6587330.00
9270	6086222.00
9300	5739631.50
9330	5488209.00
9360	5277959.00
9390	5121018.50
9420	4975144.50
9450	4857710.50
9480	4756333.50
9510	4667357.00
9540	4585945.00
9570	4510092.50
9600	4435210.50
9630	4373772.50
9660	4310118.50
9690	4260418.00
9720	4214266.00
9750	4159767.75
9780	4115824.75
9810	4081289.50
9840	4034774.75
9870	3999399.75
9900	3966539.25
9930	3932100.75
9960	3899162.00
9990	3862798.00
10020	3832848.00
10050	3808538.50
10080	3784810.25
10110	3754701.00
10140	3727545.50
10170	3708885.00
10200	3684929.75
10230	3664526.00
10260	3643410.50
10290	3615792.00
10320	3598071.50
10350	3581023.00
10380	3562245.25
10410	3543141.00
10440	3524414.50
10470	3510785.75
10500	3493437.75
10530	3474002.50
10560	3454635.00
10590	3441767.00
10620	3424083.50
10650	3411357.00
10680	3403398.00
10710	3383410.75
10740	3372233.50
10770	3357585.50
10800	3344912.25
10830	3331913.25
10860	3321753.75
10890	3312628.25
10920	3295404.50
10950	3288047.00
10980	3271980.00
11010	3264818.00
11040	3252793.75
11070	3244629.75
11100	3230282.50
11130	3221360.75
11160	3216337.50
11190	3205389.25
11220	3190979.25
11250	3187051.00
11280	3175299.00
11310	3164560.50
11340	3156839.75
11370	3149340.75
11400	3142097.00
11430	3134800.00
11460	3121746.25
11490	3115381.00
11520	3111068.75
11550	3101461.00
11580	3089381.75
11610	3082962.25
11640	3080000.75
11670	3073074.50
11700	3059908.25
11730	3054683.50
11760	3047331.75
11790	3043061.00
11820	3037543.50
11850	3026392.00
11880	3023095.00
11910	9621149.00
11940	11052199.00
11970	11956925.00
12000	12357619.00
12030	12701974.00
12060	12926997.00
12090	13134736.00
12120	13271849.00
12150	13454633.00
12180	13599530.00
12210	13691903.00
12240	13778255.00
12270	13921691.00
12300	14020960.00
12330	14099293.00
12360	14161150.00
12390	14287805.00
12420	14348243.00
12450	14383024.00
12480	14489205.00
12510	14564426.00
12540	14568158.00
12570	14702668.00
12600	14690699.00
12630	14759483.00
12660	14882824.00
12690	14940818.00
12720	14902226.00
12750	14988415.00
12780	15063744.00
12810	8682260.00
12840	7479888.50
12870	6863756.50
12900	6449832.50
12930	6156021.50
12960	5907239.50
12990	5714494.00
13020	5555387.00
13050	5418142.50
13080	5287907.50
13110	5179477.00
13140	5087427.00
13170	4993726.00
13200	4913335.00
13230	4832775.00
13260	4760542.00
13290	4697902.50
13320	4640796.50
13350	4585049.50
13380	4527761.00
13410	4477804.00
13440	4427074.00
13470	4388856.50
13500	4342131.50
13530	4298938.50
13560	4263927.50
13590	4230460.50
13620	4187974.25
13650	4159546.50
13680	4125419.25
13710	4097822.00
13740	4066362.75
13770	4034862.25
13800	4008804.50
13830	3981654.00
13860	3951329.50
13890	3928821.75
13920	3902227.50
13950	3882570.00
13980	3855587.00
14010	3833658.25
14040	3811714.50
14070	3796271.50
14100	3772366.25
14130	3758626.00
14160	3731750.50
14190	3722669.25
14220	3698209.25
14250	3686193.00
14280	3663165.00
14310	3649474.00
