# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Power Law Fit data


x_fit_values	y_fit_1	y_fit_2	y_fit_3	y_fit_4
     2.755	    32.617	    29.807	    30.788	    37.246
     2.760	    32.637	    29.825	    30.810	    37.260
     2.765	    32.657	    29.844	    30.833	    37.275
     2.770	    32.676	    29.863	    30.855	    37.290
     2.775	    32.696	    29.881	    30.877	    37.305
     2.780	    32.715	    29.900	    30.900	    37.320
     2.785	    32.735	    29.919	    30.922	    37.334
     2.790	    32.754	    29.937	    30.944	    37.349
     2.795	    32.773	    29.956	    30.966	    37.364
     2.800	    32.793	    29.975	    30.988	    37.379
     2.805	    32.812	    29.993	    31.010	    37.393
     2.810	    32.832	    30.012	    31.032	    37.408
     2.815	    32.851	    30.030	    31.055	    37.423
     2.820	    32.870	    30.049	    31.077	    37.437
     2.825	    32.889	    30.067	    31.099	    37.452
     2.830	    32.909	    30.085	    31.121	    37.466
     2.835	    32.928	    30.104	    31.143	    37.481
     2.840	    32.947	    30.122	    31.165	    37.496
     2.845	    32.966	    30.141	    31.186	    37.510
     2.850	    32.986	    30.159	    31.208	    37.525
     2.855	    33.005	    30.177	    31.230	    37.539
     2.860	    33.024	    30.196	    31.252	    37.554
     2.865	    33.043	    30.214	    31.274	    37.568
     2.870	    33.062	    30.232	    31.296	    37.582
     2.875	    33.081	    30.250	    31.318	    37.597
     2.880	    33.100	    30.269	    31.339	    37.611
     2.885	    33.119	    30.287	    31.361	    37.626
     2.890	    33.138	    30.305	    31.383	    37.640
     2.895	    33.157	    30.323	    31.404	    37.654
     2.900	    33.176	    30.341	    31.426	    37.669
     2.905	    33.195	    30.359	    31.448	    37.683
     2.910	    33.214	    30.378	    31.469	    37.697
     2.915	    33.233	    30.396	    31.491	    37.711
     2.920	    33.252	    30.414	    31.513	    37.726
     2.925	    33.270	    30.432	    31.534	    37.740
     2.930	    33.289	    30.450	    31.556	    37.754
     2.935	    33.308	    30.468	    31.577	    37.768
     2.940	    33.327	    30.486	    31.599	    37.782
     2.945	    33.345	    30.504	    31.620	    37.797
     2.950	    33.364	    30.522	    31.642	    37.811
     2.955	    33.383	    30.540	    31.663	    37.825
     2.960	    33.402	    30.558	    31.685	    37.839
     2.965	    33.420	    30.575	    31.706	    37.853
     2.970	    33.439	    30.593	    31.727	    37.867
     2.975	    33.458	    30.611	    31.749	    37.881
     2.980	    33.476	    30.629	    31.770	    37.895
     2.985	    33.495	    30.647	    31.791	    37.909
     2.990	    33.513	    30.665	    31.813	    37.923
     2.995	    33.532	    30.682	    31.834	    37.937
     3.000	    33.550	    30.700	    31.855	    37.951
     3.005	    33.569	    30.718	    31.876	    37.965
     3.010	    33.587	    30.735	    31.897	    37.979
     3.015	    33.606	    30.753	    31.919	    37.993
     3.020	    33.624	    30.771	    31.940	    38.006
     3.025	    33.643	    30.788	    31.961	    38.020
     3.030	    33.661	    30.806	    31.982	    38.034
     3.035	    33.679	    30.824	    32.003	    38.048
     3.040	    33.698	    30.841	    32.024	    38.062
     3.045	    33.716	    30.859	    32.045	    38.076
     3.050	    33.734	    30.876	    32.066	    38.089
     3.055	    33.753	    30.894	    32.087	    38.103
     3.060	    33.771	    30.911	    32.108	    38.117
     3.065	    33.789	    30.929	    32.129	    38.130
     3.070	    33.807	    30.946	    32.150	    38.144
     3.075	    33.826	    30.964	    32.171	    38.158
     3.080	    33.844	    30.981	    32.192	    38.171
     3.085	    33.862	    30.999	    32.213	    38.185
     3.090	    33.880	    31.016	    32.234	    38.199
     3.095	    33.898	    31.034	    32.255	    38.212
     3.100	    33.916	    31.051	    32.275	    38.226
     3.105	    33.935	    31.068	    32.296	    38.239
     3.110	    33.953	    31.086	    32.317	    38.253
     3.115	    33.971	    31.103	    32.338	    38.267
     3.120	    33.989	    31.120	    32.359	    38.280
     3.125	    34.007	    31.138	    32.379	    38.294
     3.130	    34.025	    31.155	    32.400	    38.307
     3.135	    34.043	    31.172	    32.421	    38.321
     3.140	    34.061	    31.189	    32.441	    38.334
     3.145	    34.079	    31.206	    32.462	    38.347
     3.150	    34.097	    31.224	    32.483	    38.361
     3.155	    34.114	    31.241	    32.503	    38.374
     3.160	    34.132	    31.258	    32.524	    38.388
     3.165	    34.150	    31.275	    32.544	    38.401
     3.170	    34.168	    31.292	    32.565	    38.414
     3.175	    34.186	    31.309	    32.585	    38.428
     3.180	    34.204	    31.326	    32.606	    38.441
     3.185	    34.222	    31.343	    32.626	    38.454
     3.190	    34.239	    31.361	    32.647	    38.468
     3.195	    34.257	    31.378	    32.667	    38.481
     3.200	    34.275	    31.395	    32.688	    38.494
     3.205	    34.292	    31.412	    32.708	    38.507
     3.210	    34.310	    31.429	    32.729	    38.521
     3.215	    34.328	    31.445	    32.749	    38.534
     3.220	    34.346	    31.462	    32.769	    38.547
     3.225	    34.363	    31.479	    32.790	    38.560
     3.230	    34.381	    31.496	    32.810	    38.573
     3.235	    34.398	    31.513	    32.830	    38.586
     3.240	    34.416	    31.530	    32.851	    38.600
     3.245	    34.434	    31.547	    32.871	    38.613
     3.250	    34.451	    31.564	    32.891	    38.626
     3.255	    34.469	    31.581	    32.911	    38.639
     3.260	    34.486	    31.597	    32.932	    38.652
     3.265	    34.504	    31.614	    32.952	    38.665
     3.270	    34.521	    31.631	    32.972	    38.678
     3.275	    34.539	    31.648	    32.992	    38.691
     3.280	    34.556	    31.664	    33.012	    38.704
     3.285	    34.574	    31.681	    33.032	    38.717
     3.290	    34.591	    31.698	    33.052	    38.730
     3.295	    34.608	    31.715	    33.072	    38.743
     3.300	    34.626	    31.731	    33.093	    38.756
     3.305	    34.643	    31.748	    33.113	    38.769
     3.310	    34.660	    31.765	    33.133	    38.782
     3.315	    34.678	    31.781	    33.153	    38.795
     3.320	    34.695	    31.798	    33.173	    38.807
     3.325	    34.712	    31.814	    33.193	    38.820
     3.330	    34.730	    31.831	    33.212	    38.833
     3.335	    34.747	    31.847	    33.232	    38.846
     3.340	    34.764	    31.864	    33.252	    38.859
     3.345	    34.781	    31.881	    33.272	    38.872
     3.350	    34.798	    31.897	    33.292	    38.884
     3.355	    34.816	    31.914	    33.312	    38.897
     3.360	    34.833	    31.930	    33.332	    38.910
     3.365	    34.850	    31.947	    33.352	    38.923
     3.370	    34.867	    31.963	    33.371	    38.935
     3.375	    34.884	    31.979	    33.391	    38.948
     3.380	    34.901	    31.996	    33.411	    38.961
     3.385	    34.918	    32.012	    33.431	    38.973
     3.390	    34.935	    32.029	    33.450	    38.986
     3.395	    34.953	    32.045	    33.470	    38.999
     3.400	    34.970	    32.061	    33.490	    39.011
     3.405	    34.987	    32.078	    33.510	    39.024
     3.410	    35.004	    32.094	    33.529	    39.037
     3.415	    35.021	    32.110	    33.549	    39.049
     3.420	    35.037	    32.127	    33.569	    39.062
     3.425	    35.054	    32.143	    33.588	    39.074
     3.430	    35.071	    32.159	    33.608	    39.087
     3.435	    35.088	    32.175	    33.627	    39.100
     3.440	    35.105	    32.192	    33.647	    39.112
     3.445	    35.122	    32.208	    33.666	    39.125
     3.450	    35.139	    32.224	    33.686	    39.137
     3.455	    35.156	    32.240	    33.706	    39.150
     3.460	    35.173	    32.256	    33.725	    39.162
     3.465	    35.189	    32.272	    33.744	    39.174
     3.470	    35.206	    32.289	    33.764	    39.187
     3.475	    35.223	    32.305	    33.783	    39.199
     3.480	    35.240	    32.321	    33.803	    39.212
     3.485	    35.257	    32.337	    33.822	    39.224
     3.490	    35.273	    32.353	    33.842	    39.237
     3.495	    35.290	    32.369	    33.861	    39.249
     3.500	    35.307	    32.385	    33.880	    39.261
     3.505	    35.323	    32.401	    33.900	    39.274
     3.510	    35.340	    32.417	    33.919	    39.286
     3.515	    35.357	    32.433	    33.938	    39.298
     3.520	    35.373	    32.449	    33.958	    39.311
     3.525	    35.390	    32.465	    33.977	    39.323
     3.530	    35.407	    32.481	    33.996	    39.335
     3.535	    35.423	    32.497	    34.015	    39.347
     3.540	    35.440	    32.513	    34.035	    39.360
     3.545	    35.456	    32.529	    34.054	    39.372
     3.550	    35.473	    32.545	    34.073	    39.384
     3.555	    35.489	    32.561	    34.092	    39.396
     3.560	    35.506	    32.576	    34.111	    39.408
     3.565	    35.522	    32.592	    34.131	    39.421
     3.570	    35.539	    32.608	    34.150	    39.433
     3.575	    35.555	    32.624	    34.169	    39.445
     3.580	    35.572	    32.640	    34.188	    39.457
     3.585	    35.588	    32.656	    34.207	    39.469
     3.590	    35.605	    32.671	    34.226	    39.481
     3.595	    35.621	    32.687	    34.245	    39.493
     3.600	    35.637	    32.703	    34.264	    39.506
     3.605	    35.654	    32.719	    34.283	    39.518
     3.610	    35.670	    32.734	    34.302	    39.530
     3.615	    35.687	    32.750	    34.321	    39.542
     3.620	    35.703	    32.766	    34.340	    39.554
     3.625	    35.719	    32.781	    34.359	    39.566
     3.630	    35.735	    32.797	    34.378	    39.578
     3.635	    35.752	    32.813	    34.397	    39.590
     3.640	    35.768	    32.828	    34.416	    39.602
     3.645	    35.784	    32.844	    34.435	    39.614
     3.650	    35.801	    32.860	    34.454	    39.626
     3.655	    35.817	    32.875	    34.473	    39.638
     3.660	    35.833	    32.891	    34.491	    39.650
     3.665	    35.849	    32.906	    34.510	    39.662
     3.670	    35.865	    32.922	    34.529	    39.673
     3.675	    35.882	    32.937	    34.548	    39.685
     3.680	    35.898	    32.953	    34.567	    39.697
     3.685	    35.914	    32.968	    34.585	    39.709
     3.690	    35.930	    32.984	    34.604	    39.721
     3.695	    35.946	    32.999	    34.623	    39.733
     3.700	    35.962	    33.015	    34.642	    39.745
     3.705	    35.978	    33.030	    34.660	    39.756
     3.710	    35.994	    33.046	    34.679	    39.768
     3.715	    36.010	    33.061	    34.698	    39.780
     3.720	    36.026	    33.077	    34.716	    39.792
     3.725	    36.042	    33.092	    34.735	    39.804
     3.730	    36.058	    33.107	    34.754	    39.815
     3.735	    36.074	    33.123	    34.772	    39.827
     3.740	    36.090	    33.138	    34.791	    39.839
     3.745	    36.106	    33.154	    34.809	    39.851
     3.750	    36.122	    33.169	    34.828	    39.862
     3.755	    36.138	    33.184	    34.847	    39.874
     3.760	    36.154	    33.200	    34.865	    39.886
     3.765	    36.170	    33.215	    34.884	    39.897
     3.770	    36.186	    33.230	    34.902	    39.909
     3.775	    36.202	    33.245	    34.921	    39.921
     3.780	    36.218	    33.261	    34.939	    39.932
     3.785	    36.234	    33.276	    34.958	    39.944
     3.790	    36.249	    33.291	    34.976	    39.956
     3.795	    36.265	    33.306	    34.995	    39.967
     3.800	    36.281	    33.322	    35.013	    39.979
     3.805	    36.297	    33.337	    35.031	    39.990
     3.810	    36.313	    33.352	    35.050	    40.002
     3.815	    36.328	    33.367	    35.068	    40.013
     3.820	    36.344	    33.382	    35.087	    40.025
     3.825	    36.360	    33.397	    35.105	    40.036
     3.830	    36.376	    33.413	    35.123	    40.048
     3.835	    36.391	    33.428	    35.142	    40.060
     3.840	    36.407	    33.443	    35.160	    40.071
     3.845	    36.423	    33.458	    35.178	    40.082
     3.850	    36.438	    33.473	    35.197	    40.094
     3.855	    36.454	    33.488	    35.215	    40.105
     3.860	    36.470	    33.503	    35.233	    40.117
     3.865	    36.485	    33.518	    35.251	    40.128
     3.870	    36.501	    33.533	    35.270	    40.140
     3.875	    36.516	    33.548	    35.288	    40.151
     3.880	    36.532	    33.563	    35.306	    40.163
     3.885	    36.548	    33.578	    35.324	    40.174
     3.890	    36.563	    33.593	    35.342	    40.185
     3.895	    36.579	    33.608	    35.360	    40.197
     3.900	    36.594	    33.623	    35.379	    40.208
     3.905	    36.610	    33.638	    35.397	    40.219
     3.910	    36.625	    33.653	    35.415	    40.231
     3.915	    36.641	    33.668	    35.433	    40.242
     3.920	    36.656	    33.683	    35.451	    40.253
     3.925	    36.672	    33.697	    35.469	    40.265
     3.930	    36.687	    33.712	    35.487	    40.276
     3.935	    36.703	    33.727	    35.505	    40.287
     3.940	    36.718	    33.742	    35.523	    40.299
     3.945	    36.734	    33.757	    35.541	    40.310
     3.950	    36.749	    33.772	    35.559	    40.321
     3.955	    36.764	    33.787	    35.577	    40.332
     3.960	    36.780	    33.801	    35.595	    40.343
     3.965	    36.795	    33.816	    35.613	    40.355
     3.970	    36.810	    33.831	    35.631	    40.366
     3.975	    36.826	    33.846	    35.649	    40.377
     3.980	    36.841	    33.860	    35.667	    40.388
     3.985	    36.856	    33.875	    35.685	    40.399
     3.990	    36.872	    33.890	    35.703	    40.411
     3.995	    36.887	    33.905	    35.721	    40.422
     4.000	    36.902	    33.919	    35.739	    40.433
     4.005	    36.918	    33.934	    35.756	    40.444
     4.010	    36.933	    33.949	    35.774	    40.455
     4.015	    36.948	    33.963	    35.792	    40.466
     4.020	    36.963	    33.978	    35.810	    40.477
     4.025	    36.978	    33.993	    35.828	    40.488
     4.030	    36.994	    34.007	    35.846	    40.499
     4.035	    37.009	    34.022	    35.863	    40.510
     4.040	    37.024	    34.037	    35.881	    40.522
     4.045	    37.039	    34.051	    35.899	    40.533
     4.050	    37.054	    34.066	    35.917	    40.544
     4.055	    37.069	    34.080	    35.934	    40.555
     4.060	    37.085	    34.095	    35.952	    40.566
     4.065	    37.100	    34.109	    35.970	    40.577
     4.070	    37.115	    34.124	    35.987	    40.588
     4.075	    37.130	    34.138	    36.005	    40.599
     4.080	    37.145	    34.153	    36.023	    40.610
     4.085	    37.160	    34.167	    36.040	    40.621
     4.090	    37.175	    34.182	    36.058	    40.631
     4.095	    37.190	    34.196	    36.076	    40.642
     4.100	    37.205	    34.211	    36.093	    40.653
     4.105	    37.220	    34.225	    36.111	    40.664
     4.110	    37.235	    34.240	    36.128	    40.675
     4.115	    37.250	    34.254	    36.146	    40.686
     4.120	    37.265	    34.269	    36.163	    40.697
     4.125	    37.280	    34.283	    36.181	    40.708
     4.130	    37.295	    34.297	    36.199	    40.719
     4.135	    37.310	    34.312	    36.216	    40.729
     4.140	    37.325	    34.326	    36.234	    40.740
     4.145	    37.340	    34.341	    36.251	    40.751
     4.150	    37.355	    34.355	    36.269	    40.762
     4.155	    37.370	    34.369	    36.286	    40.773
     4.160	    37.384	    34.384	    36.303	    40.784
     4.165	    37.399	    34.398	    36.321	    40.794
     4.170	    37.414	    34.412	    36.338	    40.805
     4.175	    37.429	    34.427	    36.356	    40.816
     4.180	    37.444	    34.441	    36.373	    40.827
     4.185	    37.459	    34.455	    36.391	    40.837
     4.190	    37.473	    34.469	    36.408	    40.848
     4.195	    37.488	    34.484	    36.425	    40.859
     4.200	    37.503	    34.498	    36.443	    40.870
     4.205	    37.518	    34.512	    36.460	    40.880
     4.210	    37.533	    34.526	    36.477	    40.891
     4.215	    37.547	    34.541	    36.495	    40.902
     4.220	    37.562	    34.555	    36.512	    40.912
     4.225	    37.577	    34.569	    36.529	    40.923
     4.230	    37.592	    34.583	    36.547	    40.934
     4.235	    37.606	    34.597	    36.564	    40.944
     4.240	    37.621	    34.611	    36.581	    40.955
     4.245	    37.636	    34.626	    36.598	    40.966
     4.250	    37.650	    34.640	    36.616	    40.976
     4.255	    37.665	    34.654	    36.633	    40.987
     4.260	    37.680	    34.668	    36.650	    40.997
     4.265	    37.694	    34.682	    36.667	    41.008
     4.270	    37.709	    34.696	    36.684	    41.019
     4.275	    37.723	    34.710	    36.701	    41.029
     4.280	    37.738	    34.724	    36.719	    41.040
     4.285	    37.753	    34.738	    36.736	    41.050
     4.290	    37.767	    34.752	    36.753	    41.061
     4.295	    37.782	    34.766	    36.770	    41.071
     4.300	    37.796	    34.780	    36.787	    41.082
     4.305	    37.811	    34.794	    36.804	    41.092
     4.310	    37.825	    34.808	    36.821	    41.103
     4.315	    37.840	    34.822	    36.838	    41.113
     4.320	    37.854	    34.836	    36.855	    41.124
     4.325	    37.869	    34.850	    36.873	    41.134
     4.330	    37.883	    34.864	    36.890	    41.145
     4.335	    37.898	    34.878	    36.907	    41.155
     4.340	    37.912	    34.892	    36.924	    41.166
     4.345	    37.927	    34.906	    36.941	    41.176
     4.350	    37.941	    34.920	    36.958	    41.187
     4.355	    37.956	    34.934	    36.975	    41.197
     4.360	    37.970	    34.948	    36.992	    41.207
     4.365	    37.984	    34.962	    37.009	    41.218
     4.370	    37.999	    34.976	    37.025	    41.228
     4.375	    38.013	    34.989	    37.042	    41.239
     4.380	    38.028	    35.003	    37.059	    41.249
     4.385	    38.042	    35.017	    37.076	    41.259
     4.390	    38.056	    35.031	    37.093	    41.270
     4.395	    38.071	    35.045	    37.110	    41.280
     4.400	    38.085	    35.059	    37.127	    41.290
     4.405	    38.099	    35.072	    37.144	    41.301
     4.410	    38.114	    35.086	    37.161	    41.311
     4.415	    38.128	    35.100	    37.177	    41.321
     4.420	    38.142	    35.114	    37.194	    41.332
     4.425	    38.157	    35.128	    37.211	    41.342
     4.430	    38.171	    35.141	    37.228	    41.352
     4.435	    38.185	    35.155	    37.245	    41.363
     4.440	    38.199	    35.169	    37.261	    41.373
     4.445	    38.214	    35.183	    37.278	    41.383
     4.450	    38.228	    35.196	    37.295	    41.393
     4.455	    38.242	    35.210	    37.312	    41.404
     4.460	    38.256	    35.224	    37.329	    41.414
     4.465	    38.270	    35.237	    37.345	    41.424
     4.470	    38.285	    35.251	    37.362	    41.434
     4.475	    38.299	    35.265	    37.379	    41.444
     4.480	    38.313	    35.278	    37.395	    41.455
     4.485	    38.327	    35.292	    37.412	    41.465
     4.490	    38.341	    35.306	    37.429	    41.475
     4.495	    38.355	    35.319	    37.445	    41.485
     4.500	    38.369	    35.333	    37.462	    41.495
     4.505	    38.383	    35.346	    37.479	    41.505
     4.510	    38.398	    35.360	    37.495	    41.516
     4.515	    38.412	    35.374	    37.512	    41.526
     4.520	    38.426	    35.387	    37.529	    41.536
     4.525	    38.440	    35.401	    37.545	    41.546
     4.530	    38.454	    35.414	    37.562	    41.556
     4.535	    38.468	    35.428	    37.578	    41.566
     4.540	    38.482	    35.441	    37.595	    41.576
     4.545	    38.496	    35.455	    37.611	    41.586
     4.550	    38.510	    35.468	    37.628	    41.596
     4.555	    38.524	    35.482	    37.644	    41.606
     4.560	    38.538	    35.495	    37.661	    41.616
     4.565	    38.552	    35.509	    37.677	    41.627
     4.570	    38.566	    35.522	    37.694	    41.637
     4.575	    38.580	    35.536	    37.710	    41.647
     4.580	    38.594	    35.549	    37.727	    41.657
     4.585	    38.608	    35.563	    37.743	    41.667
     4.590	    38.622	    35.576	    37.760	    41.677
     4.595	    38.636	    35.590	    37.776	    41.687
     4.600	    38.650	    35.603	    37.793	    41.697
     4.605	    38.663	    35.616	    37.809	    41.707
     4.610	    38.677	    35.630	    37.826	    41.717
     4.615	    38.691	    35.643	    37.842	    41.726
     4.620	    38.705	    35.657	    37.858	    41.736
     4.625	    38.719	    35.670	    37.875	    41.746
     4.630	    38.733	    35.683	    37.891	    41.756
     4.635	    38.747	    35.697	    37.907	    41.766
     4.640	    38.760	    35.710	    37.924	    41.776
     4.645	    38.774	    35.723	    37.940	    41.786
     4.650	    38.788	    35.737	    37.956	    41.796
     4.655	    38.802	    35.750	    37.973	    41.806
     4.660	    38.816	    35.763	    37.989	    41.816
     4.665	    38.829	    35.777	    38.005	    41.826
     4.670	    38.843	    35.790	    38.022	    41.835
     4.675	    38.857	    35.803	    38.038	    41.845
     4.680	    38.871	    35.816	    38.054	    41.855
     4.685	    38.885	    35.830	    38.070	    41.865
     4.690	    38.898	    35.843	    38.087	    41.875
     4.695	    38.912	    35.856	    38.103	    41.885
     4.700	    38.926	    35.869	    38.119	    41.895
     4.705	    38.939	    35.883	    38.135	    41.904
     4.710	    38.953	    35.896	    38.152	    41.914
     4.715	    38.967	    35.909	    38.168	    41.924
     4.720	    38.980	    35.922	    38.184	    41.934
     4.725	    38.994	    35.935	    38.200	    41.943
     4.730	    39.008	    35.949	    38.216	    41.953
     4.735	    39.021	    35.962	    38.232	    41.963
     4.740	    39.035	    35.975	    38.249	    41.973
     4.745	    39.049	    35.988	    38.265	    41.983
     4.750	    39.062	    36.001	    38.281	    41.992
     4.755	    39.076	    36.014	    38.297	    42.002
     4.760	    39.089	    36.028	    38.313	    42.012
     4.765	    39.103	    36.041	    38.329	    42.021
     4.770	    39.117	    36.054	    38.345	    42.031
     4.775	    39.130	    36.067	    38.361	    42.041
     4.780	    39.144	    36.080	    38.377	    42.051
     4.785	    39.157	    36.093	    38.393	    42.060
     4.790	    39.171	    36.106	    38.409	    42.070
     4.795	    39.184	    36.119	    38.425	    42.080
     4.800	    39.198	    36.132	    38.441	    42.089
     4.805	    39.211	    36.145	    38.457	    42.099
     4.810	    39.225	    36.158	    38.473	    42.108
     4.815	    39.238	    36.171	    38.489	    42.118
     4.820	    39.252	    36.184	    38.505	    42.128
     4.825	    39.265	    36.197	    38.521	    42.137
     4.830	    39.279	    36.210	    38.537	    42.147
     4.835	    39.292	    36.223	    38.553	    42.157
     4.840	    39.306	    36.236	    38.569	    42.166
     4.845	    39.319	    36.249	    38.585	    42.176
     4.850	    39.333	    36.262	    38.601	    42.185
     4.855	    39.346	    36.275	    38.617	    42.195
     4.860	    39.359	    36.288	    38.633	    42.204
     4.865	    39.373	    36.301	    38.649	    42.214
     4.870	    39.386	    36.314	    38.665	    42.224
     4.875	    39.400	    36.327	    38.680	    42.233
     4.880	    39.413	    36.340	    38.696	    42.243
     4.885	    39.426	    36.353	    38.712	    42.252
     4.890	    39.440	    36.366	    38.728	    42.262
     4.895	    39.453	    36.378	    38.744	    42.271
     4.900	    39.466	    36.391	    38.760	    42.281
     4.905	    39.480	    36.404	    38.775	    42.290
     4.910	    39.493	    36.417	    38.791	    42.300
     4.915	    39.506	    36.430	    38.807	    42.309
     4.920	    39.520	    36.443	    38.823	    42.319
     4.925	    39.533	    36.456	    38.839	    42.328
     4.930	    39.546	    36.468	    38.854	    42.338
     4.935	    39.559	    36.481	    38.870	    42.347
     4.940	    39.573	    36.494	    38.886	    42.356
     4.945	    39.586	    36.507	    38.902	    42.366
     4.950	    39.599	    36.520	    38.917	    42.375
     4.955	    39.612	    36.532	    38.933	    42.385
     4.960	    39.626	    36.545	    38.949	    42.394
     4.965	    39.639	    36.558	    38.964	    42.404
     4.970	    39.652	    36.571	    38.980	    42.413
     4.975	    39.665	    36.583	    38.996	    42.422
     4.980	    39.678	    36.596	    39.011	    42.432
     4.985	    39.692	    36.609	    39.027	    42.441
     4.990	    39.705	    36.622	    39.043	    42.451
     4.995	    39.718	    36.634	    39.058	    42.460
