# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Power Law Fit data


x_fit_values	y_fit_1	y_fit_2	y_fit_3	y_fit_4
     0.625	    19.962	    17.824	    17.013	    26.866
     0.630	    20.014	    17.873	    17.067	    26.913
     0.635	    20.067	    17.922	    17.121	    26.960
     0.640	    20.119	    17.971	    17.175	    27.007
     0.645	    20.171	    18.019	    17.228	    27.053
     0.650	    20.223	    18.068	    17.282	    27.099
     0.655	    20.274	    18.116	    17.335	    27.145
     0.660	    20.325	    18.163	    17.387	    27.191
     0.665	    20.376	    18.211	    17.440	    27.236
     0.670	    20.427	    18.258	    17.492	    27.281
     0.675	    20.477	    18.305	    17.544	    27.325
     0.680	    20.527	    18.352	    17.596	    27.370
     0.685	    20.577	    18.399	    17.648	    27.414
     0.690	    20.626	    18.445	    17.699	    27.458
     0.695	    20.676	    18.492	    17.750	    27.502
     0.700	    20.725	    18.538	    17.801	    27.545
     0.705	    20.774	    18.583	    17.852	    27.588
     0.710	    20.822	    18.629	    17.903	    27.631
     0.715	    20.871	    18.674	    17.953	    27.674
     0.720	    20.919	    18.720	    18.003	    27.717
     0.725	    20.967	    18.765	    18.053	    27.759
     0.730	    21.015	    18.809	    18.103	    27.801
     0.735	    21.062	    18.854	    18.152	    27.843
     0.740	    21.110	    18.898	    18.201	    27.884
     0.745	    21.157	    18.942	    18.250	    27.926
     0.750	    21.204	    18.986	    18.299	    27.967
     0.755	    21.250	    19.030	    18.348	    28.008
     0.760	    21.297	    19.074	    18.396	    28.049
     0.765	    21.343	    19.117	    18.445	    28.089
     0.770	    21.389	    19.160	    18.493	    28.129
     0.775	    21.435	    19.203	    18.541	    28.170
     0.780	    21.481	    19.246	    18.589	    28.209
     0.785	    21.526	    19.289	    18.636	    28.249
     0.790	    21.571	    19.331	    18.684	    28.289
     0.795	    21.617	    19.374	    18.731	    28.328
     0.800	    21.661	    19.416	    18.778	    28.367
     0.805	    21.706	    19.458	    18.825	    28.406
     0.810	    21.751	    19.500	    18.871	    28.445
     0.815	    21.795	    19.541	    18.918	    28.483
     0.820	    21.839	    19.583	    18.964	    28.522
     0.825	    21.883	    19.624	    19.010	    28.560
     0.830	    21.927	    19.665	    19.056	    28.598
     0.835	    21.971	    19.706	    19.102	    28.636
     0.840	    22.014	    19.747	    19.148	    28.674
     0.845	    22.057	    19.788	    19.193	    28.711
     0.850	    22.100	    19.828	    19.238	    28.748
     0.855	    22.143	    19.869	    19.284	    28.786
     0.860	    22.186	    19.909	    19.329	    28.823
     0.865	    22.229	    19.949	    19.374	    28.859
     0.870	    22.271	    19.989	    19.418	    28.896
     0.875	    22.314	    20.028	    19.463	    28.933
     0.880	    22.356	    20.068	    19.507	    28.969
     0.885	    22.398	    20.108	    19.551	    29.005
     0.890	    22.439	    20.147	    19.596	    29.041
     0.895	    22.481	    20.186	    19.639	    29.077
     0.900	    22.523	    20.225	    19.683	    29.113
     0.905	    22.564	    20.264	    19.727	    29.148
     0.910	    22.605	    20.303	    19.770	    29.183
     0.915	    22.646	    20.341	    19.814	    29.219
     0.920	    22.687	    20.380	    19.857	    29.254
     0.925	    22.728	    20.418	    19.900	    29.289
     0.930	    22.768	    20.456	    19.943	    29.324
     0.935	    22.809	    20.494	    19.986	    29.358
     0.940	    22.849	    20.532	    20.029	    29.393
     0.945	    22.889	    20.570	    20.071	    29.427
     0.950	    22.929	    20.608	    20.113	    29.461
     0.955	    22.969	    20.645	    20.156	    29.495
     0.960	    23.009	    20.683	    20.198	    29.529
     0.965	    23.049	    20.720	    20.240	    29.563
     0.970	    23.088	    20.757	    20.282	    29.597
     0.975	    23.127	    20.794	    20.323	    29.630
     0.980	    23.167	    20.831	    20.365	    29.664
     0.985	    23.206	    20.868	    20.407	    29.697
     0.990	    23.245	    20.904	    20.448	    29.730
     0.995	    23.283	    20.941	    20.489	    29.763
     1.000	    23.322	    20.977	    20.530	    29.796
     1.005	    23.360	    21.014	    20.571	    29.829
     1.010	    23.399	    21.050	    20.612	    29.861
     1.015	    23.437	    21.086	    20.653	    29.894
     1.020	    23.475	    21.122	    20.693	    29.926
     1.025	    23.513	    21.158	    20.734	    29.958
     1.030	    23.551	    21.193	    20.774	    29.990
     1.035	    23.589	    21.229	    20.815	    30.022
     1.040	    23.627	    21.264	    20.855	    30.054
     1.045	    23.664	    21.300	    20.895	    30.086
     1.050	    23.702	    21.335	    20.935	    30.118
     1.055	    23.739	    21.370	    20.974	    30.149
     1.060	    23.776	    21.405	    21.014	    30.181
     1.065	    23.813	    21.440	    21.054	    30.212
     1.070	    23.850	    21.475	    21.093	    30.243
     1.075	    23.887	    21.510	    21.133	    30.274
     1.080	    23.924	    21.544	    21.172	    30.305
     1.085	    23.960	    21.579	    21.211	    30.336
     1.090	    23.997	    21.613	    21.250	    30.367
     1.095	    24.033	    21.648	    21.289	    30.397
     1.100	    24.069	    21.682	    21.328	    30.428
     1.105	    24.106	    21.716	    21.366	    30.458
     1.110	    24.142	    21.750	    21.405	    30.489
     1.115	    24.178	    21.784	    21.444	    30.519
     1.120	    24.213	    21.818	    21.482	    30.549
     1.125	    24.249	    21.852	    21.520	    30.579
     1.130	    24.285	    21.885	    21.558	    30.609
     1.135	    24.320	    21.919	    21.597	    30.638
     1.140	    24.356	    21.952	    21.635	    30.668
     1.145	    24.391	    21.985	    21.672	    30.698
     1.150	    24.426	    22.019	    21.710	    30.727
     1.155	    24.461	    22.052	    21.748	    30.757
     1.160	    24.496	    22.085	    21.786	    30.786
     1.165	    24.531	    22.118	    21.823	    30.815
     1.170	    24.566	    22.151	    21.860	    30.844
     1.175	    24.601	    22.183	    21.898	    30.873
     1.180	    24.635	    22.216	    21.935	    30.902
     1.185	    24.670	    22.249	    21.972	    30.931
     1.190	    24.704	    22.281	    22.009	    30.959
     1.195	    24.739	    22.314	    22.046	    30.988
     1.200	    24.773	    22.346	    22.083	    31.017
     1.205	    24.807	    22.378	    22.120	    31.045
     1.210	    24.841	    22.410	    22.156	    31.073
     1.215	    24.875	    22.442	    22.193	    31.101
     1.220	    24.909	    22.474	    22.229	    31.130
     1.225	    24.942	    22.506	    22.266	    31.158
     1.230	    24.976	    22.538	    22.302	    31.186
     1.235	    25.010	    22.570	    22.338	    31.213
     1.240	    25.043	    22.601	    22.374	    31.241
     1.245	    25.077	    22.633	    22.410	    31.269
     1.250	    25.110	    22.664	    22.446	    31.297
     1.255	    25.143	    22.696	    22.482	    31.324
     1.260	    25.176	    22.727	    22.518	    31.352
     1.265	    25.209	    22.758	    22.554	    31.379
     1.270	    25.242	    22.789	    22.589	    31.406
     1.275	    25.275	    22.820	    22.625	    31.433
     1.280	    25.308	    22.851	    22.660	    31.460
     1.285	    25.340	    22.882	    22.696	    31.487
     1.290	    25.373	    22.913	    22.731	    31.514
     1.295	    25.405	    22.944	    22.766	    31.541
     1.300	    25.438	    22.975	    22.801	    31.568
     1.305	    25.470	    23.005	    22.836	    31.595
     1.310	    25.503	    23.036	    22.871	    31.621
     1.315	    25.535	    23.066	    22.906	    31.648
     1.320	    25.567	    23.096	    22.941	    31.674
     1.325	    25.599	    23.127	    22.975	    31.701
     1.330	    25.631	    23.157	    23.010	    31.727
     1.335	    25.663	    23.187	    23.045	    31.753
     1.340	    25.694	    23.217	    23.079	    31.779
     1.345	    25.726	    23.247	    23.113	    31.805
     1.350	    25.758	    23.277	    23.148	    31.831
     1.355	    25.789	    23.307	    23.182	    31.857
     1.360	    25.821	    23.337	    23.216	    31.883
     1.365	    25.852	    23.366	    23.250	    31.909
     1.370	    25.883	    23.396	    23.284	    31.935
     1.375	    25.915	    23.426	    23.318	    31.960
     1.380	    25.946	    23.455	    23.352	    31.986
     1.385	    25.977	    23.485	    23.386	    32.011
     1.390	    26.008	    23.514	    23.420	    32.037
     1.395	    26.039	    23.543	    23.453	    32.062
     1.400	    26.070	    23.572	    23.487	    32.087
     1.405	    26.100	    23.602	    23.520	    32.113
     1.410	    26.131	    23.631	    23.554	    32.138
     1.415	    26.162	    23.660	    23.587	    32.163
     1.420	    26.192	    23.689	    23.620	    32.188
     1.425	    26.223	    23.717	    23.654	    32.213
     1.430	    26.253	    23.746	    23.687	    32.238
     1.435	    26.284	    23.775	    23.720	    32.262
     1.440	    26.314	    23.804	    23.753	    32.287
     1.445	    26.344	    23.832	    23.786	    32.312
     1.450	    26.374	    23.861	    23.819	    32.336
     1.455	    26.404	    23.889	    23.852	    32.361
     1.460	    26.434	    23.918	    23.884	    32.385
     1.465	    26.464	    23.946	    23.917	    32.410
     1.470	    26.494	    23.974	    23.950	    32.434
     1.475	    26.524	    24.003	    23.982	    32.458
     1.480	    26.554	    24.031	    24.015	    32.482
     1.485	    26.583	    24.059	    24.047	    32.507
     1.490	    26.613	    24.087	    24.079	    32.531
     1.495	    26.642	    24.115	    24.112	    32.555
     1.500	    26.672	    24.143	    24.144	    32.579
     1.505	    26.701	    24.171	    24.176	    32.603
     1.510	    26.731	    24.199	    24.208	    32.626
     1.515	    26.760	    24.226	    24.240	    32.650
     1.520	    26.789	    24.254	    24.272	    32.674
     1.525	    26.818	    24.282	    24.304	    32.697
     1.530	    26.847	    24.309	    24.336	    32.721
     1.535	    26.876	    24.337	    24.368	    32.745
     1.540	    26.905	    24.364	    24.399	    32.768
     1.545	    26.934	    24.392	    24.431	    32.791
     1.550	    26.963	    24.419	    24.463	    32.815
     1.555	    26.992	    24.446	    24.494	    32.838
     1.560	    27.020	    24.473	    24.525	    32.861
     1.565	    27.049	    24.501	    24.557	    32.884
     1.570	    27.078	    24.528	    24.588	    32.908
     1.575	    27.106	    24.555	    24.620	    32.931
     1.580	    27.135	    24.582	    24.651	    32.954
     1.585	    27.163	    24.609	    24.682	    32.976
     1.590	    27.191	    24.636	    24.713	    32.999
     1.595	    27.220	    24.662	    24.744	    33.022
     1.600	    27.248	    24.689	    24.775	    33.045
     1.605	    27.276	    24.716	    24.806	    33.068
     1.610	    27.304	    24.743	    24.837	    33.090
     1.615	    27.332	    24.769	    24.868	    33.113
     1.620	    27.360	    24.796	    24.898	    33.135
     1.625	    27.388	    24.822	    24.929	    33.158
     1.630	    27.416	    24.849	    24.960	    33.180
     1.635	    27.444	    24.875	    24.990	    33.203
     1.640	    27.471	    24.901	    25.021	    33.225
     1.645	    27.499	    24.928	    25.051	    33.247
     1.650	    27.527	    24.954	    25.082	    33.270
     1.655	    27.554	    24.980	    25.112	    33.292
     1.660	    27.582	    25.006	    25.142	    33.314
     1.665	    27.609	    25.032	    25.173	    33.336
     1.670	    27.637	    25.058	    25.203	    33.358
     1.675	    27.664	    25.084	    25.233	    33.380
     1.680	    27.691	    25.110	    25.263	    33.402
     1.685	    27.719	    25.136	    25.293	    33.424
     1.690	    27.746	    25.162	    25.323	    33.446
     1.695	    27.773	    25.188	    25.353	    33.467
     1.700	    27.800	    25.213	    25.383	    33.489
     1.705	    27.827	    25.239	    25.413	    33.511
     1.710	    27.854	    25.265	    25.443	    33.532
     1.715	    27.881	    25.290	    25.472	    33.554
     1.720	    27.908	    25.316	    25.502	    33.575
