# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Visualization data
# time unit: min
# channels unit: kOhm


Time	ch1	ch2	ch3	ch4
  104.0000	   23.4580	   35.8928	   43.3010	  262.5041
  105.0000	   23.4699	   35.9128	   43.3065	  262.4134
  106.0000	   23.4897	   35.9361	   43.3268	  262.5234
  107.0000	   23.4952	   35.9745	   43.3495	  262.5878
  108.0000	   23.5022	   35.9868	   43.3793	  262.4767
  109.0000	   23.5188	   35.9835	   43.3917	  262.2853
  110.0000	   23.5281	   36.0224	   43.4197	  262.3295
  111.0000	   21.8133	   33.9740	   41.7893	  219.0501
  112.0000	   20.6751	   32.4568	   40.2206	  206.3800
  113.0000	   19.8356	   31.2842	   38.7697	  195.9715
  114.0000	   19.2367	   30.3988	   37.5383	  190.0028
  115.0000	   18.7911	   29.7171	   36.5121	  185.9210
  116.0000	   18.4438	   29.2049	   35.6576	  183.2442
  117.0000	   18.1676	   28.7587	   34.9438	  181.3427
  118.0000	   17.9427	   28.3853	   34.3368	  179.9245
  119.0000	   17.7566	   28.0811	   33.8161	  179.0192
  120.0000	   17.6104	   27.8202	   33.3742	  178.7433
  121.0000	   18.3681	   28.7580	   34.2171	  198.3344
  122.0000	   18.9766	   29.5129	   34.9031	  210.0105
  123.0000	   19.4358	   30.0859	   35.4648	  218.2829
  124.0000	   19.8170	   30.5688	   35.9530	  224.7670
  125.0000	   20.1454	   30.9838	   36.3751	  230.2589
  126.0000	   20.4316	   31.3412	   36.7606	  234.7803
  127.0000	   20.6742	   31.6778	   37.1010	  238.5911
  128.0000	   20.8882	   31.9567	   37.4175	  241.4926
  129.0000	   21.0834	   32.2345	   37.7078	  244.4671
  130.0000	   21.2503	   32.4618	   37.9784	  246.8482
  131.0000	   21.4074	   32.6745	   38.2348	  248.7754
  132.0000	   21.5433	   32.8672	   38.4634	  250.4432
  133.0000	   21.6683	   33.0235	   38.6841	  252.1452
  134.0000	   21.7890	   33.2270	   38.8931	  253.5487
  135.0000	   21.8933	   33.3814	   39.0841	  254.5327
  136.0000	   21.9876	   33.5236	   39.2659	  255.5169
  137.0000	   22.0731	   33.6238	   39.4392	  256.6065
  138.0000	   22.1539	   33.7593	   39.6027	  257.4521
  139.0000	   22.2322	   33.8435	   39.7485	  257.9808
  140.0000	   22.3023	   33.9830	   39.8974	  258.5415
  141.0000	   22.3642	   34.0789	   40.0292	  259.1505
  142.0000	   22.4168	   34.1686	   40.1717	  259.6144
  143.0000	   22.4779	   34.2402	   40.2920	  259.9061
  144.0000	   22.5289	   34.3373	   40.4022	  260.2908
  145.0000	   22.5787	   34.4378	   40.5180	  260.7420
  146.0000	   22.6307	   34.5169	   40.6407	  260.8902
  147.0000	   22.6799	   34.5744	   40.7383	  261.0323
  148.0000	   22.7227	   34.6386	   40.8421	  261.3607
  149.0000	   22.7710	   34.7052	   40.9428	  261.5944
  150.0000	   22.7994	   34.7478	   41.0404	  261.6219
  151.0000	   22.8447	   34.8280	   41.1205	  261.7604
  152.0000	   22.8717	   34.8787	   41.2144	  262.0705
  153.0000	   22.9007	   34.9141	   41.2949	  262.0651
  154.0000	   22.9319	   34.9702	   41.3672	  262.0196
  155.0000	   22.9624	   35.0186	   41.4582	  262.2392
  156.0000	   22.9843	   35.0725	   41.5189	  262.3225
  157.0000	   23.0104	   35.1072	   41.5875	  262.1957
  158.0000	   23.0393	   35.1360	   41.6560	  262.2643
  159.0000	   23.0579	   35.2148	   41.7207	  262.4202
  160.0000	   23.0729	   35.2372	   41.7890	  262.4448
  161.0000	   23.0910	   35.2261	   41.8382	  262.4767
  162.0000	   23.1066	   35.2848	   41.8934	  262.5238
  163.0000	   23.1253	   35.3414	   41.9566	  262.6329
  164.0000	   23.1376	   35.3586	   42.0157	  262.4402
  165.0000	   23.1557	   35.3696	   42.0607	  262.4566
  166.0000	   23.1635	   35.4414	   42.0992	  262.6736
  167.0000	   23.1739	   35.4598	   42.1444	  262.4047
  168.0000	   23.1842	   35.4934	   42.1950	  262.3846
  169.0000	   23.1959	   35.4920	   42.2446	  262.5530
  170.0000	   23.2040	   35.5316	   42.2878	  262.4808
  171.0000	   19.9688	   31.4862	   38.3985	  199.1709
  172.0000	   18.3721	   29.2638	   35.6391	  182.4528
  173.0000	   17.5492	   28.0205	   33.8294	  175.6551
  174.0000	   17.0257	   27.1969	   32.5825	  172.0072
  175.0000	   16.6770	   26.6291	   31.6791	  169.8181
  176.0000	   16.4200	   26.2048	   30.9863	  168.3735
  177.0000	   16.2222	   25.8651	   30.4470	  167.5533
  178.0000	   16.0638	   25.6177	   30.0232	  167.0028
  179.0000	   15.9385	   25.4014	   29.6753	  166.4282
  180.0000	   15.8375	   25.1894	   29.3903	  166.7132
  181.0000	   16.7928	   26.4054	   30.5123	  190.1044
  182.0000	   17.5197	   27.3341	   31.3931	  202.8953
  183.0000	   18.0780	   28.0559	   32.1143	  211.9499
  184.0000	   18.5347	   28.6394	   32.7260	  219.0298
  185.0000	   18.9340	   29.1523	   33.2703	  225.0881
  186.0000	   19.2667	   29.6026	   33.7583	  230.1489
  187.0000	   19.5636	   30.0039	   34.2095	  234.0480
  188.0000	   19.8251	   30.3640	   34.6140	  237.5279
  189.0000	   20.0574	   30.6969	   34.9819	  240.7148
  190.0000	   20.2674	   30.9880	   35.3354	  243.3004
  191.0000	   20.4520	   31.2392	   35.6641	  245.4065
  192.0000	   20.6275	   31.5097	   35.9707	  247.6199
  193.0000	   20.7821	   31.7403	   36.2552	  249.3086
  194.0000	   20.9323	   31.9506	   36.5168	  250.6256
  195.0000	   21.0658	   32.1384	   36.7793	  252.1869
  196.0000	   21.1882	   32.3503	   37.0273	  253.3702
  197.0000	   21.2980	   32.4972	   37.2439	  254.1174
  198.0000	   21.4027	   32.6564	   37.4560	  255.3384
  199.0000	   21.4994	   32.8260	   37.6723	  256.1394
  200.0000	   21.5931	   32.9553	   37.8640	  256.7024
  201.0000	   21.6782	   33.0805	   38.0497	  257.4622
  202.0000	   21.7482	   33.2183	   38.2338	  258.0484
  203.0000	   21.8352	   33.3281	   38.3980	  258.4747
  204.0000	   21.9044	   33.4562	   38.5559	  258.7520
  205.0000	   21.9641	   33.5613	   38.7224	  259.3178
  206.0000	   22.0219	   33.6441	   38.8556	  259.4662
  207.0000	   22.0766	   33.7403	   39.0059	  260.0536
  208.0000	   22.1352	   33.8383	   39.1423	  260.3627
  209.0000	   22.1796	   33.9189	   39.2762	  260.3938
  210.0000	   22.2339	   34.0252	   39.4067	  260.7186
