30	4815.72754	590934.5	1183473.75	5798.67773	356394.781	530710.438
60	4834.1582	594357.875	1247820.5	5822.48047	356714.469	534251.938
90	4853.0459	593492.375	1247674.75	5846.87061	356765.062	539135.063
120	4871.41162	593873.875	1250529.62	5870.73291	356923.969	544170.188
150	4887.6167	593620.937	1248954.62	5894.86328	357166.062	549245.063
180	3932.47803	594510.063	1253492.75	5749.5293	357602.469	554171.625
210	4014.61963	594576.25	1257987.62	5774.89893	357921.312	559129.25
240	11885.334	595579.438	1242294.37	16663.7852	358508.125	564216.25
270	99260.8906	594606.813	1233186.5	176442.281	358747.125	568378.5
300	124168.992	595509.625	1253716.38	175837.406	359036.594	572343
330	117779.602	594016.563	1257320.75	148401.281	359234.469	575526.875
360	105211.078	594332.75	1257689.5	124525.375	359671.125	578976.125
390	92542.0313	594983.375	1257971	105794.703	360117.813	582811.688
420	81891.375	595376	1261838.5	90708.9766	360374.5	586613
450	73339.5469	596597	1260958.88	78653.2891	360784.594	590307.937
480	66596.7187	599263.375	1262804.63	68906.6875	361210.844	593662.688
510	61225.3945	597793.812	1209838.87	61170.1133	361615.625	597481.75
540	56890.8281	598509.5	1193171.62	54980.6406	361922.5	600578.625
570	53365.4141	599002.937	1215506	50060.2852	362501.188	603254.5
600	50457.0508	597476.688	1194835.87	46132.875	362872.656	606278.375
630	48043.5117	599346.375	1194670.38	42947.8789	363426.625	608983.687
660	46020.9727	598757.75	1195012.25	40330.6211	363867.094	611703.625
690	44321.0859	599273.125	1197655.13	38150.5273	364152.688	614580.438
720	42854.5664	599212.313	1196518.75	36317.5078	364514.156	617133
750	41592.6797	599739	1199495.13	34755.4023	365093.25	619390.875
780	40494.8398	601091.313	1198891	33422.9102	365509.719	622047.125
810	39546.7539	598818.688	1195526.13	32279.9258	365710.875	624088.625
840	38727.4492	600098.313	1197275.25	31291.6406	366078.844	625728.5
870	38012.5742	600237.313	1191918.63	30442.3711	366407.187	627713.438
900	37394.0469	601687.562	1192650.88	29713.998	366683.719	629374.625
930	36862.5156	602061.375	1197637.12	29080.5996	366982.219	631237.813
960	36399.0781	601349.187	1197727.5	28536.3965	367096.844	632655
990	36017.2969	603251.875	1197537.38	28080.7441	367366.313	634451.875
1020	35673.5352	603047.875	1203267.87	27684.1621	367606.188	635124.312
1050	35388.8164	605168	1206784.5	27340.623	367800.594	635032.875
1080	35150.5625	605406.625	1199544.63	27050.1406	367956	634127.625
1110	34962.9922	605068.375	1193380.75	26817.1758	368238.656	631942.187
1140	34806.5781	605141.5	1204522.63	26616.8574	368195.688	629278.75
1170	34688	606545.875	1194687.25	26456.3164	368474.812	626815.75
1200	34598.0117	606556.625	1193182	26330.1621	368444.969	624457.625
1230	34542.7266	605307.313	1200081	26228.4277	368733.25	621518.375
1260	34515.3242	605678.25	1194702.13	26155.9023	368761.25	618803.813
1290	34506.168	604572.563	1191902	26107.0137	368986.406	615983.813
1320	34513.3281	604825.125	1192426	26081.3613	368950.219	613058.625
